item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800239,1,TYPE,,,0,ME,ME-JO
100800239,2,DIA,,Millimeter,1,ME,ME-JO
100800239,3,DIM,,Millimeter,0,ME,ME-JO
100800239,4,MAT,,,0,ME,ME-JO
100800239,5,USG,,,0,ME,ME-JO
100800240,1,TYPE,,,0,HY,HY-VE
100800240,2,DAP,,Millimeter,1,HY,HY-VE
100800240,3,DGT,,Millimeter,0,HY,HY-VE
100800240,4,COU,,Millimeter,0,HY,HY-VE
100800240,5,PRE,,Bar,0,HY,HY-VE
100800241,1,TYPE,,,0,HY,HY-VE
100800241,2,DAP,,Millimeter,1,HY,HY-VE
100800241,3,DGT,,Millimeter,0,HY,HY-VE
100800241,4,COU,,Millimeter,0,HY,HY-VE
100800241,5,PRE,,Bar,0,HY,HY-VE
100800243,1,TYPE,,,0,ME,ME-JO
100800243,2,DIA,,Millimeter,1,ME,ME-JO
100800243,3,DIM,,Millimeter,0,ME,ME-JO
100800243,4,MAT,,,0,ME,ME-JO
100800243,5,USG,,,0,ME,ME-JO
100800244,1,TYPE,,,0,HY,HY-VE
100800244,2,DAP,,Millimeter,1,HY,HY-VE
100800244,3,DGT,,Millimeter,0,HY,HY-VE
100800244,4,COU,,Millimeter,0,HY,HY-VE
100800244,5,PRE,,Bar,0,HY,HY-VE
100800250,1,TYPE,,,0,HY,HY-PO
100800250,2,DEB,,,1,HY,HY-PO
100800250,3,CYL,,,0,HY,HY-PO
100800250,4,PRE,,Bar,0,HY,HY-PO
100800250,5,LIQ,,,0,HY,HY-PO
100800253,1,TYPE,,,0,ME,ME-EN
100800253,2,NDR,,,1,ME,ME-EN
100800253,3,MODU,,,0,ME,ME-EN
100800253,4,DIM,,Millimeter,0,ME,ME-EN
100800253,5,MAT,,,0,ME,ME-EN
100800256,1,TYPE,,,0,HY,HY-FL
100800256,2,DN,,,1,HY,HY-FL
100800256,3,LON,,Millimeter,0,HY,HY-FL
100800256,4,EMB,,,0,HY,HY-FL
100800256,5,PRE,,Bar,0,HY,HY-FL
100800257,1,TS,,,0,IN,IN-TE
100800257,2,PMEAS,,Celsius,1,IN,IN-TE
100800257,3,LON,,Millimeter,0,IN,IN-TE
100800257,4,DGT,,Millimeter,0,IN,IN-TE
100800257,5,RAC,,,0,IN,IN-TE
100800258,1,TCP,,,0,EE,EE-CP
100800258,2,SIG,,,1,EE,EE-CP
100800258,3,RAC,,,0,EE,EE-CP
100800258,4,ALIM,,,0,EE,EE-CP
100800258,5,PLG,,,0,EE,EE-CP
100800261,1,TYPE,,,0,HY,HY-FL
100800261,2,DN,,,1,HY,HY-FL
100800261,3,LON,,Millimeter,0,HY,HY-FL
100800261,4,EMB,,,0,HY,HY-FL
100800261,5,PRE,,Bar,0,HY,HY-FL
100800262,1,TYPE,,,0,HY,HY-FL
100800262,2,DN,,,1,HY,HY-FL
100800262,3,LON,,Millimeter,0,HY,HY-FL
100800262,4,EMB,,,0,HY,HY-FL
100800262,5,PRE,,Bar,0,HY,HY-FL
100800263,1,TYPE,,,0,EL,EL-RE
